Tiempo,Roll,Pitch
0.004,-8.34,-75.37
0.008,-8.4,-75.76
0.012,-8.36,-75.76
0.016,-8.29,-76.12
0.02,-8.26,-76.31
0.024,-8.28,-75.99
0.028,-8.36,-76.45
0.032,-8.32,-76.48
0.036000000000000004,-8.24,-76.4
0.04000000000000001,-8.31,-76.36
0.04400000000000001,-8.33,-76.86
0.048000000000000015,-8.32,-76.84
0.05200000000000002,-8.28,-76.19
0.05600000000000002,-8.33,-75.6
0.060000000000000026,-8.31,-76.1
0.06400000000000003,-8.34,-76.82
0.06800000000000003,-8.34,-76.59
0.07200000000000004,-8.32,-75.68
0.07600000000000004,-8.33,-75.98
0.08000000000000004,-8.51,-75.86
0.08400000000000005,-8.59,-75.69
0.08800000000000005,-8.58,-75.76
0.09200000000000005,-8.52,-75.74
0.09600000000000006,-8.55,-75.63
0.10000000000000006,-8.46,-75.44
0.10400000000000006,-8.39,-74.99
0.10800000000000007,-8.49,-75.05
0.11200000000000007,-8.52,-74.85
0.11600000000000008,-8.51,-74.77
0.12000000000000008,-8.42,-74.89
0.12400000000000008,-8.38,-74.97
0.12800000000000009,-8.37,-74.91
0.1320000000000001,-8.43,-75.38
0.1360000000000001,-8.51,-75.43
0.1400000000000001,-8.5,-75.45
0.1440000000000001,-8.37,-75.58
0.1480000000000001,-8.28,-75.62
0.1520000000000001,-8.27,-75.51
0.1560000000000001,-8.29,-76.06
0.16000000000000011,-8.33,-76.03
0.16400000000000012,-8.33,-76.15
0.16800000000000012,-8.27,-76.46
0.17200000000000013,-8.29,-77.22
0.17600000000000013,-8.3,-77.53
0.18000000000000013,-8.3,-77.69
0.18400000000000014,-8.37,-77.67
0.18800000000000014,-8.38,-77.82
0.19200000000000014,-8.4,-77.28
0.19600000000000015,-8.42,-76.64
0.20000000000000015,-8.54,-76.91
0.20400000000000015,-8.59,-76.68
0.20800000000000016,-8.64,-76.17
0.21200000000000016,-8.61,-75.86
0.21600000000000016,-8.63,-76.15
0.22000000000000017,-8.66,-76.13
0.22400000000000017,-8.75,-75.67
0.22800000000000017,-8.62,-75.97
0.23200000000000018,-8.59,-75.62
0.23600000000000018,-8.47,-75.55
0.24000000000000019,-8.46,-76.06
0.2440000000000002,-8.46,-76.06
0.2480000000000002,-8.56,-76.83
0.25200000000000017,-8.57,-77.07
0.25600000000000017,-8.52,-77.29
0.2600000000000002,-8.49,-77.4
0.2640000000000002,-8.48,-77.01
0.2680000000000002,-8.44,-76.68
0.2720000000000002,-8.48,-76.62
0.2760000000000002,-8.54,-77.48
0.2800000000000002,-8.55,-78.06
0.2840000000000002,-8.49,-78.13
0.2880000000000002,-8.45,-77.88
0.2920000000000002,-8.38,-77.98
0.2960000000000002,-8.41,-78.06
0.3000000000000002,-8.43,-77.56
0.3040000000000002,-8.45,-78.15
0.3080000000000002,-8.47,-77.6
0.3120000000000002,-8.59,-77.41
0.3160000000000002,-8.55,-77.33
0.32000000000000023,-8.39,-77.7
0.32400000000000023,-8.43,-77.66
0.32800000000000024,-8.48,-78.37
0.33200000000000024,-8.37,-78.47
0.33600000000000024,-8.29,-78.22
0.34000000000000025,-8.3,-77.17
0.34400000000000025,-8.3,-77.17
0.34800000000000025,-8.19,-77.72
0.35200000000000026,-8.16,-77.97
0.35600000000000026,-8.16,-78.1
0.36000000000000026,-8.21,-78.57
0.36400000000000027,-8.29,-78.86
0.36800000000000027,-8.27,-78.0
0.3720000000000003,-8.3,-78.14
0.3760000000000003,-8.34,-78.26
0.3800000000000003,-8.3,-78.27
0.3840000000000003,-8.34,-78.36
0.3880000000000003,-8.41,-78.39
0.3920000000000003,-8.39,-78.49
0.3960000000000003,-8.38,-78.17
0.4000000000000003,-8.38,-78.17
0.4040000000000003,-8.47,-78.58
0.4080000000000003,-8.47,-78.48
0.4120000000000003,-8.27,-77.74
0.4160000000000003,-8.21,-77.96
0.4200000000000003,-8.21,-78.03
0.4240000000000003,-8.32,-78.08
0.4280000000000003,-8.36,-78.21
0.43200000000000033,-8.3,-78.52
0.43600000000000033,-8.31,-78.44
0.44000000000000034,-8.24,-78.83
0.44400000000000034,-8.26,-78.53
0.44800000000000034,-8.35,-78.17
0.45200000000000035,-8.33,-78.38
0.45600000000000035,-8.24,-77.73
0.46000000000000035,-8.25,-76.81
0.46400000000000036,-8.26,-76.14
0.46800000000000036,-8.35,-75.7
0.47200000000000036,-8.31,-75.48
0.47600000000000037,-8.23,-75.29
0.48000000000000037,-8.35,-75.16
0.4840000000000004,-8.4,-74.59
0.4880000000000004,-8.5,-74.47
0.4920000000000004,-8.47,-74.84
0.4960000000000004,-8.44,-75.01
0.5000000000000003,-8.43,-75.03
0.5040000000000003,-8.41,-75.37
0.5080000000000003,-8.34,-74.73
0.5120000000000003,-8.29,-75.12
0.5160000000000003,-8.19,-75.6
0.5200000000000004,-8.18,-75.52
0.5240000000000004,-8.21,-75.46
0.5280000000000004,-8.23,-76.09
0.5320000000000004,-8.27,-76.33
0.5360000000000004,-8.28,-75.77
0.5400000000000004,-8.23,-75.11
0.5440000000000004,-8.17,-75.4
0.5480000000000004,-8.24,-75.35
0.5520000000000004,-8.29,-75.4
0.5560000000000004,-8.31,-75.04
0.5600000000000004,-8.35,-74.96
0.5640000000000004,-8.29,-75.39
0.5680000000000004,-8.32,-76.26
0.5720000000000004,-8.32,-76.67
0.5760000000000004,-8.34,-77.18
0.5800000000000004,-8.39,-77.67
0.5840000000000004,-8.43,-77.9
0.5880000000000004,-8.4,-77.95
0.5920000000000004,-8.36,-77.66
0.5960000000000004,-8.46,-77.14
0.6000000000000004,-8.45,-76.8
0.6040000000000004,-8.46,-76.09
0.6080000000000004,-8.46,-75.91
0.6120000000000004,-8.42,-75.91
0.6160000000000004,-8.39,-75.34
0.6200000000000004,-8.38,-75.99
0.6240000000000004,-8.44,-76.73
0.6280000000000004,-8.42,-76.93
0.6320000000000005,-8.38,-76.79
0.6360000000000005,-8.31,-77.02
0.6400000000000005,-8.24,-76.85
0.6440000000000005,-8.3,-77.4
0.6480000000000005,-8.24,-77.56
0.6520000000000005,-8.3,-77.61
0.6560000000000005,-8.34,-77.82
0.6600000000000005,-8.37,-78.37
0.6640000000000005,-8.41,-78.34
0.6680000000000005,-8.41,-78.83
0.6720000000000005,-8.43,-79.33
0.6760000000000005,-8.46,-79.3
0.6800000000000005,-8.45,-79.35
0.6840000000000005,-8.41,-79.27
0.6880000000000005,-8.4,-78.68
0.6920000000000005,-8.37,-78.01
0.6960000000000005,-8.28,-77.15
0.7000000000000005,-8.33,-76.62
0.7040000000000005,-8.39,-76.23
0.7080000000000005,-8.52,-75.73
0.7120000000000005,-8.47,-75.24
0.7160000000000005,-8.4,-74.69
0.7200000000000005,-8.38,-74.72
0.7240000000000005,-8.41,-74.59
0.7280000000000005,-8.42,-74.15
0.7320000000000005,-8.43,-75.36
0.7360000000000005,-8.49,-75.34
0.7400000000000005,-8.48,-74.95
0.7440000000000005,-8.38,-75.53
0.7480000000000006,-8.34,-76.31
0.7520000000000006,-8.45,-75.98
0.7560000000000006,-8.53,-76.1
0.7600000000000006,-8.53,-76.24
0.7640000000000006,-8.49,-76.0
0.7680000000000006,-8.41,-75.85
0.7720000000000006,-8.38,-75.99
0.7760000000000006,-8.39,-76.66
0.7800000000000006,-8.37,-77.04
