Tiempo,Altura,Velocidad
0.004,5778.82,203.36
0.008,5779.63,203.38
0.012,5780.45,203.39
0.016,5781.26,203.41
0.02,5782.07,203.44
0.024,5782.89,203.45
0.028,5783.7,203.47
0.032,5784.51,203.49
0.036000000000000004,5785.33,203.5
0.04000000000000001,5786.14,203.5
0.04400000000000001,5786.96,203.51
0.048000000000000015,5787.77,203.53
0.05200000000000002,5788.58,203.54
0.05600000000000002,5789.4,203.56
0.060000000000000026,5790.21,203.58
0.06400000000000003,5791.03,203.6
0.06800000000000003,5791.84,203.62
0.07200000000000004,5792.66,203.63
0.07600000000000004,5793.47,203.65
0.08000000000000004,5794.29,203.67
0.08400000000000005,5795.1,203.68
0.08800000000000005,5795.91,203.7
0.09200000000000005,5796.73,203.72
0.09600000000000006,5797.54,203.74
0.10000000000000006,5798.36,203.76
0.10400000000000006,5799.17,203.79
0.10800000000000007,5799.99,203.8
0.11200000000000007,5800.8,203.82
0.11600000000000008,5801.62,203.84
0.12000000000000008,5802.44,203.86
0.12400000000000008,5803.25,203.87
0.12800000000000009,5804.07,203.88
0.1320000000000001,5804.88,203.89
0.1360000000000001,5805.7,203.9
0.1400000000000001,5806.51,203.91
0.1440000000000001,5807.33,203.91
0.1480000000000001,5808.14,203.92
0.1520000000000001,5808.96,203.94
0.1560000000000001,5809.78,203.94
0.16000000000000011,5810.59,203.96
0.16400000000000012,5811.41,203.98
0.16800000000000012,5812.22,203.99
0.17200000000000013,5813.04,204.01
0.17600000000000013,5813.85,204.03
0.18000000000000013,5814.67,204.04
0.18400000000000014,5815.49,204.05
0.18800000000000014,5816.3,204.06
0.19200000000000014,5817.12,204.07
0.19600000000000015,5817.94,204.09
0.20000000000000015,5818.75,204.1
0.20400000000000015,5819.57,204.12
0.20800000000000016,5820.39,204.14
0.21200000000000016,5821.2,204.15
0.21600000000000016,5822.02,204.16
0.22000000000000017,5822.83,204.17
0.22400000000000017,5823.65,204.18
0.22800000000000017,5824.47,204.2
0.23200000000000018,5825.29,204.22
0.23600000000000018,5826.1,204.23
0.24000000000000019,5826.92,204.25
0.2440000000000002,5827.74,204.27
0.2480000000000002,5828.55,204.29
0.25200000000000017,5829.37,204.31
0.25600000000000017,5830.19,204.32
0.2600000000000002,5831.0,204.34
0.2640000000000002,5831.82,204.35
0.2680000000000002,5832.64,204.37
0.2720000000000002,5833.46,204.38
0.2760000000000002,5834.27,204.4
0.2800000000000002,5835.09,204.41
0.2840000000000002,5835.91,204.43
0.2880000000000002,5836.73,204.44
0.2920000000000002,5837.55,204.46
0.2960000000000002,5838.36,204.48
0.3000000000000002,5839.18,204.49
0.3040000000000002,5840.0,204.5
0.3080000000000002,5840.82,204.51
0.3120000000000002,5841.63,204.53
0.3160000000000002,5842.45,204.54
0.32000000000000023,5843.27,204.55
0.32400000000000023,5844.09,204.56
0.32800000000000024,5844.91,204.58
0.33200000000000024,5845.73,204.59
0.33600000000000024,5846.54,204.61
0.34000000000000025,5847.36,204.63
0.34400000000000025,5848.18,204.65
0.34800000000000025,5849.0,204.67
0.35200000000000026,5849.82,204.68
0.35600000000000026,5850.64,204.7
0.36000000000000026,5851.46,204.71
0.36400000000000027,5852.27,204.73
0.36800000000000027,5853.09,204.74
0.3720000000000003,5853.91,204.75
0.3760000000000003,5854.73,204.76
0.3800000000000003,5855.55,204.77
0.3840000000000003,5856.37,204.79
0.3880000000000003,5857.19,204.8
0.3920000000000003,5858.01,204.82
0.3960000000000003,5858.83,204.83
0.4000000000000003,5859.65,204.84
0.4040000000000003,5860.47,204.86
0.4080000000000003,5861.29,204.87
0.4120000000000003,5862.1,204.88
0.4160000000000003,5862.92,204.9
0.4200000000000003,5863.74,204.91
0.4240000000000003,5864.56,204.92
0.4280000000000003,5865.38,204.92
0.43200000000000033,5866.2,204.93
0.43600000000000033,5867.02,204.94
0.44000000000000034,5867.84,204.96
0.44400000000000034,5868.66,204.97
0.44800000000000034,5869.48,204.99
0.45200000000000035,5870.3,205.01
0.45600000000000035,5871.12,205.02
0.46000000000000035,5871.94,205.04
0.46400000000000036,5872.76,205.06
0.46800000000000036,5873.58,205.07
0.47200000000000036,5874.4,205.09
0.47600000000000037,5875.22,205.11
0.48000000000000037,5876.04,205.13
0.4840000000000004,5876.86,205.15
0.4880000000000004,5877.69,205.17
0.4920000000000004,5878.51,205.19
0.4960000000000004,5879.33,205.2
0.5000000000000003,5880.15,205.23
0.5040000000000003,5880.97,205.24
0.5080000000000003,5881.79,205.25
0.5120000000000003,5882.61,205.26
0.5160000000000003,5883.43,205.27
0.5200000000000004,5884.25,205.28
0.5240000000000004,5885.07,205.3
0.5280000000000004,5885.9,205.32
0.5320000000000004,5886.72,205.33
0.5360000000000004,5887.54,205.35
0.5400000000000004,5888.36,205.36
0.5440000000000004,5889.18,205.37
0.5480000000000004,5890.0,205.38
0.5520000000000004,5890.82,205.39
0.5560000000000004,5891.65,205.41
0.5600000000000004,5892.47,205.42
0.5640000000000004,5893.29,205.44
0.5680000000000004,5894.11,205.46
0.5720000000000004,5894.93,205.48
0.5760000000000004,5895.75,205.49
0.5800000000000004,5896.58,205.51
0.5840000000000004,5897.4,205.53
0.5880000000000004,5898.22,205.55
0.5920000000000004,5899.04,205.56
0.5960000000000004,5899.86,205.57
0.6000000000000004,5900.69,205.58
0.6040000000000004,5901.51,205.59
0.6080000000000004,5902.33,205.6
0.6120000000000004,5903.15,205.61
0.6160000000000004,5903.98,205.63
0.6200000000000004,5904.8,205.63
0.6240000000000004,5905.62,205.64
0.6280000000000004,5906.44,205.65
0.6320000000000005,5907.27,205.66
0.6360000000000005,5908.09,205.66
0.6400000000000005,5908.91,205.67
0.6440000000000005,5909.73,205.67
0.6480000000000005,5910.56,205.67
0.6520000000000005,5911.38,205.68
0.6560000000000005,5912.2,205.68
0.6600000000000005,5913.03,205.69
0.6640000000000005,5913.85,205.69
0.6680000000000005,5914.67,205.69
0.6720000000000005,5915.49,205.7
0.6760000000000005,5916.32,205.7
0.6800000000000005,5917.14,205.7
0.6840000000000005,5917.96,205.71
0.6880000000000005,5918.79,205.71
0.6920000000000005,5919.61,205.73
0.6960000000000005,5920.43,205.74
0.7000000000000005,5921.25,205.74
0.7040000000000005,5922.08,205.75
0.7080000000000005,5922.9,205.76
0.7120000000000005,5923.72,205.78
0.7160000000000005,5924.55,205.79
0.7200000000000005,5925.37,205.8
0.7240000000000005,5926.19,205.82
0.7280000000000005,5927.02,205.83
0.7320000000000005,5927.84,205.84
0.7360000000000005,5928.66,205.85
0.7400000000000005,5929.49,205.86
0.7440000000000005,5930.31,205.88
0.7480000000000006,5931.13,205.9
0.7520000000000006,5931.96,205.91
0.7560000000000006,5932.78,205.93
0.7600000000000006,5933.6,205.94
0.7640000000000006,5934.43,205.96
0.7680000000000006,5935.25,205.97
0.7720000000000006,5936.07,205.98
0.7760000000000006,5936.9,206.0
0.7800000000000006,5937.72,206.01
0.7840000000000006,5938.55,206.02
0.7880000000000006,5939.37,206.04
0.7920000000000006,5940.2,206.05
0.7960000000000006,5941.02,206.07
0.8000000000000006,5941.84,206.09
0.8040000000000006,5942.67,206.11
0.8080000000000006,5943.49,206.13
0.8120000000000006,5944.32,206.15
0.8160000000000006,5945.14,206.16
0.8200000000000006,5945.97,206.18
0.8240000000000006,5946.79,206.19
0.8280000000000006,5947.62,206.2
0.8320000000000006,5948.44,206.22
