Tiempo,kalmanPitch,kalmanRoll,kalmanYaw
0.02,5.4,-2.04,79.12
0.04,5.5,-2.04,81.52
0.06,5.57,-2.04,81.97
0.08,5.6,-2.04,81.97
0.1,5.45,-2.12,81.97
0.12000000000000001,5.36,-2.18,81.97
0.14,5.3,-2.21,81.97
0.16,5.44,-2.14,81.97
0.18,5.53,-2.1,81.97
0.19999999999999998,5.58,-2.08,81.35
0.21999999999999997,5.62,-2.06,81.35
0.23999999999999996,5.63,-2.05,81.88
0.25999999999999995,5.65,-2.04,79.99
0.27999999999999997,5.65,-2.04,81.61
0.3,5.66,-2.04,81.61
0.32,5.75,-2.04,81.61
0.34,5.8,-2.04,81.61
0.36000000000000004,5.57,-2.04,81.61
0.38000000000000006,5.43,-2.04,81.61
0.4000000000000001,5.35,-2.04,81.61
0.4200000000000001,5.3,-2.04,81.35
0.4400000000000001,5.35,-2.04,81.35
0.46000000000000013,5.39,-2.04,80.52
0.48000000000000015,5.41,-2.04,78.86
0.5000000000000001,5.42,-2.04,78.86
0.5200000000000001,5.43,-2.04,78.86
0.5400000000000001,5.43,-2.04,78.86
0.5600000000000002,5.44,-2.04,78.86
0.5800000000000002,5.35,-2.04,78.86
0.6000000000000002,5.3,-2.04,78.86
0.6200000000000002,5.26,-2.04,78.86
0.6400000000000002,5.25,-2.04,78.86
0.6600000000000003,5.32,-2.04,78.86
0.6800000000000003,5.37,-2.04,80.95
0.7000000000000003,5.4,-2.04,81.7
0.7200000000000003,5.41,-2.04,79.88
0.7400000000000003,5.42,-2.04,79.88
0.7600000000000003,5.43,-2.04,79.88
0.7800000000000004,5.35,-2.12,79.88
0.8000000000000004,5.38,-2.09,79.88
0.8200000000000004,5.41,-2.07,79.88
0.8400000000000004,5.42,-2.06,79.88
0.8600000000000004,5.43,-2.05,79.88
0.8800000000000004,5.26,-2.13,79.88
0.9000000000000005,5.15,-2.18,81.88
0.9200000000000005,5.09,-2.21,81.88
0.9400000000000005,5.05,-2.23,81.79
0.9600000000000005,5.03,-2.25,81.79
0.9800000000000005,5.01,-2.25,81.79
1.0000000000000004,5.09,-2.17,81.79
1.0200000000000005,5.32,-2.12,81.79
1.0400000000000005,5.45,-2.08,81.79
1.0600000000000005,5.54,-2.07,81.79
1.0800000000000005,5.59,-2.05,81.79
1.1000000000000005,5.62,-2.05,81.79
1.1200000000000006,5.64,-2.04,83.08
1.1400000000000006,5.38,-2.04,83.08
1.1600000000000006,5.23,-2.04,81.25
1.1800000000000006,5.14,-2.04,81.7
1.2000000000000006,5.08,-2.04,81.7
1.2200000000000006,5.3,-2.03,81.7
1.2400000000000007,4.99,-2.12,81.7
1.2600000000000007,4.81,-2.17,81.7
1.2800000000000007,5.23,-2.12,81.7
1.3000000000000007,5.49,-2.09,81.7
1.3200000000000007,5.65,-2.07,80.41
1.3400000000000007,5.74,-2.05,81.06
1.3600000000000008,5.62,-2.04,81.06
1.3800000000000008,5.54,-2.04,80.3
1.4000000000000008,5.49,-2.03,79.76
1.4200000000000008,5.46,-2.03,79.76
1.4400000000000008,5.37,-2.03,79.76
