Tiempo,kalmanPitch,kalmanRoll,kalmanYaw,ax_inertial,ay_inertial,az_inertial,vx,vy,vz,px,py,pz
0.02,12.09,10.69,42.83,5.13,-0.26,-1.61,85.92,-6.23,-33.41,726.05,-54.43,-341.69
0.04,12.17,10.61,42.83,5.13,-0.25,-1.61,86.18,-6.24,-33.49,730.36,-54.74,-343.36
0.06,12.22,10.56,39.92,5.13,-0.34,-1.61,86.43,-6.26,-33.57,734.68,-55.05,-345.04
0.08,12.25,10.53,39.92,5.12,-0.4,-1.61,86.69,-6.28,-33.65,739.02,-55.36,-346.72
0.1,12.27,10.52,40.82,5.12,-0.41,-1.61,86.94,-6.3,-33.73,743.36,-55.68,-348.41
0.12000000000000001,12.28,10.51,40.82,5.13,-0.41,-1.61,87.2,-6.32,-33.81,747.72,-56.0,-350.1
0.14,12.29,10.59,40.82,5.14,-0.43,-1.61,87.46,-6.34,-33.9,752.1,-56.31,-351.79
0.16,12.29,10.64,40.82,5.14,-0.43,-1.62,87.72,-6.36,-33.98,756.48,-56.63,-353.49
0.18,12.21,10.58,40.82,5.13,-0.44,-1.61,87.97,-6.39,-34.06,760.88,-56.95,-355.2
0.19999999999999998,12.11,10.47,40.82,5.1,-0.43,-1.59,88.23,-6.41,-34.14,765.29,-57.27,-356.9
0.21999999999999997,12.16,10.67,40.82,5.13,-0.45,-1.62,88.48,-6.43,-34.22,769.72,-57.59,-358.61
0.23999999999999996,12.19,10.79,42.06,5.16,-0.42,-1.63,88.74,-6.45,-34.3,774.15,-57.91,-360.33
0.25999999999999995,13.5,11.29,42.06,5.39,-0.35,-1.78,89.01,-6.47,-34.39,778.6,-58.24,-362.05
0.27999999999999997,14.3,11.59,40.05,5.55,-0.4,-1.88,89.29,-6.49,-34.48,783.07,-58.56,-363.77
0.3,14.79,11.78,40.05,5.65,-0.44,-1.95,89.57,-6.51,-34.58,787.55,-58.89,-365.5
0.32,15.25,11.82,40.05,5.73,-0.46,-2.01,89.86,-6.53,-34.68,792.04,-59.21,-367.23
0.34,12.26,10.53,40.05,5.25,-0.54,-1.61,90.12,-6.56,-34.76,796.55,-59.54,-368.97
0.36000000000000004,10.09,10.2,40.05,4.94,-0.63,-1.36,90.37,-6.59,-34.83,801.06,-59.87,-370.71
0.38000000000000006,8.95,9.98,40.05,4.74,-0.7,-1.19,90.6,-6.63,-34.89,805.59,-60.2,-372.46
0.4000000000000001,8.18,9.7,40.05,4.58,-0.74,-1.05,90.83,-6.66,-34.94,810.14,-60.54,-374.21
0.4200000000000001,9.38,8.37,40.05,4.54,-0.53,-1.01,91.06,-6.69,-34.99,814.69,-60.87,-375.96
0.4400000000000001,10.11,7.56,37.56,4.5,-0.49,-0.98,91.29,-6.71,-35.04,819.25,-61.21,-377.71
0.46000000000000013,10.56,7.07,33.64,4.45,-0.6,-0.96,91.51,-6.75,-35.09,823.83,-61.54,-379.46
0.48000000000000015,10.83,6.77,33.64,4.41,-0.68,-0.94,91.73,-6.78,-35.13,828.42,-61.88,-381.22
0.5000000000000001,12.13,6.39,33.64,4.5,-0.65,-1.01,91.95,-6.81,-35.18,833.01,-62.22,-382.98
0.5200000000000001,12.75,7.77,33.64,4.69,-0.86,-1.18,92.19,-6.85,-35.24,837.62,-62.57,-384.74
0.5400000000000001,12.91,8.34,33.64,4.77,-0.91,-1.28,92.43,-6.9,-35.31,842.24,-62.91,-386.5
0.5600000000000002,13.3,8.94,33.64,4.85,-0.95,-1.45,92.67,-6.95,-35.38,846.88,-63.26,-388.27
0.5800000000000002,12.56,11.57,33.64,4.94,-1.41,-1.66,92.92,-7.02,-35.46,851.52,-63.61,-390.05
0.6000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6200000000000002,0.0,0.0,37.28,0.0,0.0,-9.81,0.0,0.0,-0.49,0.0,0.0,-0.02
