Tiempo,kalmanPitch,kalmanRoll,kalmanYaw,ax_inertial,ay_inertial,az_inertial,vx,vy,vz,px,py,pz
0.02,9.25,-0.66,153.51,-0.64,1.94,9.52,-201.39,652.46,2180.42,-28334.76,95026.63,259954.58
0.04,9.26,-0.66,153.51,-0.64,1.94,9.52,-201.42,652.56,2180.89,-28344.83,95059.26,260063.63
0.06,9.18,-0.66,153.51,-0.64,1.91,9.52,-201.46,652.66,2181.37,-28354.9,95091.89,260172.69
0.08,9.13,-0.66,153.51,-0.63,1.9,9.52,-201.49,652.75,2181.85,-28364.98,95124.53,260281.78
0.1,9.1,-0.66,153.51,-0.63,1.9,9.52,-201.52,652.85,2182.32,-28375.05,95157.17,260390.89
0.12000000000000001,9.08,-0.66,151.65,-0.6,1.91,9.52,-201.55,652.94,2182.8,-28385.13,95189.82,260500.03
0.14,8.98,-0.67,151.65,-0.59,1.87,9.53,-201.58,653.03,2183.27,-28395.21,95222.47,260609.19
0.16,8.92,-0.67,155.61,-0.62,1.85,9.53,-201.61,653.13,2183.75,-28405.29,95255.13,260718.38
0.18,8.89,-0.67,155.61,-0.64,1.84,9.53,-201.64,653.22,2184.23,-28415.37,95287.79,260827.59
0.19999999999999998,8.86,-0.67,155.61,-0.65,1.83,9.53,-201.67,653.31,2184.7,-28425.46,95320.45,260936.83
0.21999999999999997,8.93,-0.67,155.61,-0.66,1.87,9.53,-201.71,653.4,2185.18,-28435.54,95353.13,261046.09
0.23999999999999996,8.98,-0.75,155.61,-0.64,1.84,9.53,-201.74,653.5,2185.66,-28445.63,95385.8,261155.38
0.25999999999999995,9.0,-0.81,155.61,-0.65,1.83,9.53,-201.77,653.59,2186.13,-28455.72,95418.48,261264.69
0.27999999999999997,9.02,-0.84,155.61,-0.66,1.83,9.54,-201.81,653.68,2186.61,-28465.81,95451.16,261374.02
0.3,9.03,-0.68,155.61,-0.72,1.88,9.52,-201.84,653.77,2187.09,-28475.9,95483.85,261483.38
0.32,9.03,-0.58,152.99,-0.68,1.91,9.52,-201.88,653.87,2187.56,-28485.99,95516.55,261592.75
0.34,9.04,-0.52,154.28,-0.67,1.92,9.51,-201.91,653.96,2188.04,-28496.09,95549.24,261702.16
0.36000000000000004,9.04,-0.49,154.31,-0.67,1.93,9.51,-201.94,654.06,2188.51,-28506.19,95581.95,261811.58
0.38000000000000006,9.04,-0.47,154.31,-0.67,1.93,9.51,-201.98,654.16,2188.99,-28516.29,95614.66,261921.03
0.4000000000000001,9.04,-0.63,154.31,-0.61,1.87,9.53,-202.01,654.25,2189.47,-28526.38,95647.37,262030.5
0.4200000000000001,9.05,-0.74,154.31,-0.62,1.86,9.53,-202.04,654.34,2189.94,-28536.49,95680.09,262140.0
0.4400000000000001,9.05,-0.8,154.31,-0.62,1.85,9.53,-202.07,654.44,2190.42,-28546.59,95712.8,262249.53
0.46000000000000013,9.05,-0.83,154.31,-0.63,1.84,9.53,-202.1,654.53,2190.9,-28556.7,95745.53,262359.06
0.48000000000000015,8.96,-0.59,154.31,-0.71,1.89,9.51,-202.14,654.62,2191.37,-28566.8,95778.27,262468.63
0.5000000000000001,8.91,-0.44,156.62,-0.72,1.9,9.51,-202.17,654.72,2191.85,-28576.91,95811.0,262578.22
0.5200000000000001,8.88,-0.35,156.62,-0.73,1.9,9.51,-202.21,654.81,2192.32,-28587.02,95843.74,262687.84
0.5400000000000001,8.86,-0.29,152.07,-0.67,1.93,9.51,-202.24,654.91,2192.8,-28597.13,95876.48,262797.47
0.5600000000000002,8.85,-0.26,154.31,-0.67,1.93,9.51,-202.27,655.01,2193.27,-28607.25,95909.23,262907.13
0.5800000000000002,8.93,-0.5,154.31,-0.58,1.89,9.53,-202.3,655.1,2193.75,-28617.36,95941.99,263016.81
0.6000000000000002,9.06,-0.56,154.31,-0.62,1.94,9.52,-202.34,655.2,2194.23,-28627.48,95974.75,263126.53
0.6200000000000002,8.97,-0.6,154.31,-0.65,1.86,9.52,-202.37,655.29,2194.7,-28637.6,96007.52,263236.28
0.6400000000000002,8.92,-0.63,154.31,-0.64,1.85,9.53,-202.4,655.38,2195.18,-28647.72,96040.28,263346.03
0.6600000000000003,8.88,-0.64,154.31,-0.64,1.84,9.53,-202.43,655.47,2195.65,-28657.84,96073.05,263455.81
0.6800000000000003,8.94,-0.65,154.31,-0.63,1.88,9.53,-202.46,655.57,2196.13,-28667.96,96105.84,263565.63
0.7000000000000003,8.98,-0.66,154.31,-0.64,1.88,9.53,-202.49,655.66,2196.61,-28678.09,96138.62,263675.47
0.7200000000000003,9.0,-0.66,151.17,-0.6,1.9,9.53,-202.52,655.76,2197.08,-28688.21,96171.41,263785.31
0.7400000000000003,9.01,-0.66,150.53,-0.57,1.91,9.52,-202.55,655.85,2197.56,-28698.34,96204.2,263895.19
0.7600000000000003,9.02,-0.66,150.53,-0.55,1.91,9.52,-202.58,655.95,2198.04,-28708.47,96236.99,264005.09
0.7800000000000004,8.94,-0.67,150.53,-0.54,1.88,9.53,-202.61,656.04,2198.51,-28718.6,96269.8,264115.03
0.8000000000000004,8.89,-0.67,150.53,-0.53,1.87,9.53,-202.63,656.14,2198.99,-28728.73,96302.6,264224.97
0.8200000000000004,8.87,-0.66,150.53,-0.52,1.88,9.53,-202.66,656.23,2199.46,-28738.87,96335.41,264334.94
0.8400000000000004,9.03,-0.74,150.53,-0.48,1.93,9.53,-202.68,656.33,2199.94,-28749.0,96368.23,264444.94
0.8600000000000004,9.12,-0.8,150.53,-0.49,1.92,9.53,-202.71,656.42,2200.42,-28759.13,96401.05,264554.97
0.8800000000000004,9.18,-0.84,151.66,-0.52,1.92,9.53,-202.73,656.52,2200.89,-28769.27,96433.88,264665.0
0.9000000000000005,9.21,-0.87,154.84,-0.58,1.9,9.53,-202.76,656.61,2201.37,-28779.41,96466.7,264775.06
0.9200000000000005,9.14,-0.88,154.84,-0.61,1.85,9.53,-202.79,656.71,2201.85,-28789.55,96499.54,264885.16
0.9400000000000005,9.1,-0.89,154.84,-0.63,1.84,9.53,-202.83,656.8,2202.32,-28799.69,96532.38,264995.28
0.9600000000000005,9.08,-0.81,154.84,-0.66,1.87,9.53,-202.86,656.89,2202.8,-28809.83,96565.23,265105.41
0.9800000000000005,9.07,-0.75,154.84,-0.66,1.87,9.53,-202.89,656.99,2203.28,-28819.98,96598.08,265215.56
1.0000000000000004,9.07,-0.72,154.84,-0.66,1.87,9.49,-202.92,657.08,2203.75,-28830.13,96630.93,265325.75
1.0200000000000005,9.08,-0.69,154.84,-0.66,1.88,9.49,-202.96,657.17,2204.23,-28840.27,96663.79,265435.97
1.0400000000000005,9.08,-0.68,154.84,-0.66,1.88,9.49,-202.99,657.27,2204.7,-28850.42,96696.66,265546.22
1.0600000000000005,9.08,-0.66,154.84,-0.66,1.88,9.49,-203.02,657.36,2205.17,-28860.57,96729.52,265656.47
1.0800000000000005,9.06,-0.65,154.84,-0.66,1.88,9.52,-203.06,657.46,2205.65,-28870.73,96762.4,265766.75
1.1000000000000005,9.05,-0.64,153.88,-0.65,1.89,9.52,-203.09,657.55,2206.13,-28880.88,96795.27,265877.06
1.1200000000000006,9.04,-0.64,152.54,-0.62,1.9,9.52,-203.12,657.65,2206.6,-28891.04,96828.16,265987.41
1.1400000000000006,9.04,-0.63,152.54,-0.61,1.9,9.52,-203.15,657.74,2207.08,-28901.2,96861.05,266097.75
1.1600000000000006,9.04,-0.63,152.54,-0.6,1.91,9.52,-203.18,657.84,2207.55,-28911.35,96893.94,266208.13
1.1800000000000006,9.04,-0.63,152.54,-0.59,1.91,9.52,-203.21,657.93,2208.03,-28921.51,96926.84,266318.53
1.2000000000000006,9.04,-0.65,152.54,-0.59,1.91,9.52,-203.24,658.03,2208.51,-28931.68,96959.73,266428.97
1.2200000000000006,9.04,-0.66,152.54,-0.59,1.91,9.52,-203.27,658.12,2208.98,-28941.84,96992.64,266539.41
1.2400000000000007,9.04,-0.66,152.54,-0.59,1.91,9.52,-203.3,658.22,2209.46,-28952.0,97025.55,266649.88
1.2600000000000007,9.04,-0.67,153.43,-0.6,1.9,9.52,-203.33,658.31,2209.94,-28962.17,97058.47,266760.38
1.2800000000000007,9.04,-0.67,152.07,-0.59,1.9,9.52,-203.36,658.41,2210.41,-28972.34,97091.39,266870.91
1.3000000000000007,9.04,-0.67,152.07,-0.58,1.91,9.52,-203.39,658.5,2210.89,-28982.51,97124.31,266981.44
1.3200000000000007,9.04,-0.67,149.73,-0.55,1.92,9.52,-203.41,658.6,2211.36,-28992.68,97157.24,267092.0
1.3400000000000007,9.04,-0.67,149.73,-0.53,1.92,9.52,-203.44,658.69,2211.84,-29002.85,97190.18,267202.59
1.3600000000000008,9.04,-0.67,149.73,-0.51,1.93,9.52,-203.47,658.79,2212.32,-29013.02,97223.12,267313.22
1.3800000000000008,9.04,-0.67,149.73,-0.51,1.93,9.52,-203.49,658.89,2212.79,-29023.2,97256.06,267423.84
1.4000000000000008,9.04,-0.67,149.73,-0.5,1.93,9.52,-203.52,658.98,2213.27,-29033.37,97289.01,267534.5
1.4200000000000008,9.04,-0.67,149.73,-0.5,1.93,9.52,-203.54,659.08,2213.75,-29043.55,97321.96,267645.19
1.4400000000000008,9.04,-0.67,149.73,-0.5,1.93,9.52,-203.57,659.18,2214.22,-29053.73,97354.92,267755.91
1.4600000000000009,9.13,-0.75,149.73,-0.46,1.94,9.53,-203.59,659.27,2214.7,-29063.91,97387.88,267866.66
1.4800000000000009,9.18,-0.8,152.58,-0.51,1.93,9.53,-203.62,659.37,2215.18,-29074.09,97420.85,267977.41
1.5000000000000009,9.22,-0.83,152.54,-0.54,1.92,9.53,-203.64,659.47,2215.65,-29084.27,97453.83,268088.19
1.520000000000001,9.24,-0.68,152.54,-0.61,1.98,9.51,-203.67,659.56,2216.13,-29094.46,97486.8,268199.0
1.540000000000001,9.25,-0.58,152.54,-0.61,1.99,9.51,-203.7,659.66,2216.6,-29104.64,97519.79,268309.84
1.560000000000001,9.17,-0.61,152.54,-0.59,1.93,9.52,-203.73,659.76,2217.08,-29114.83,97552.77,268420.69
1.580000000000001,9.12,-0.63,152.54,-0.59,1.92,9.52,-203.76,659.86,2217.56,-29125.02,97585.77,268531.56
1.600000000000001,9.11,-0.65,152.54,-0.59,1.91,9.48,-203.79,659.95,2218.03,-29135.21,97618.77,268642.47
1.620000000000001,9.1,-0.66,152.54,-0.59,1.91,9.48,-203.82,660.05,2218.5,-29145.4,97651.77,268753.41
1.640000000000001,9.08,-0.58,152.54,-0.62,1.94,9.52,-203.85,660.14,2218.98,-29155.59,97684.77,268864.34
1.660000000000001,9.07,-0.53,154.35,-0.64,1.94,9.51,-203.88,660.24,2219.46,-29165.78,97717.79,268975.31
1.680000000000001,9.06,-0.59,154.35,-0.62,1.91,9.52,-203.92,660.34,2219.93,-29175.98,97750.8,269086.31
1.700000000000001,9.05,-0.63,151.17,-0.59,1.91,9.52,-203.94,660.43,2220.41,-29186.18,97783.83,269197.34
